Country,Year,infant_mortality,fertility
Benin,2007,75.2,5.37
Bhutan,2007,40.4,2.59
Bolivia,2007,42.2,3.55
Bosnia and Herzegovina,2007,7.1,1.21
Botswana,2007,45.5,2.91
Brazil,2007,17.1,1.94
Brunei,2007,7.3,2.12
Bulgaria,2007,12.3,1.4
Burkina Faso,2007,79.2,6.12
Burundi,2007,72.7,6.57
Cambodia,2007,46.5,3.1
Cameroon,2007,73.1,5.24
Canada,2007,5.1,1.66
Cape Verde,2007,23.6,2.66
Central African Republic,2007,106.9,4.9
Chad,2007,98.1,6.9
Chile,2007,7.6,1.9
China,2007,17.2,1.53
Colombia,2007,17.3,2.45
Comoros,2007,67.9,5.11
"Congo, Dem. Rep.",2007,91.5,6.55
"Congo, Rep.",2007,53.1,5.11
Costa Rica,2007,8.9,1.95
Cote d'Ivoire,2007,84.1,4.93
Croatia,2007,5.3,1.41
Cuba,2007,4.8,1.52
Cyprus,2007,3.5,1.5
Czech Republic,2007,3.9,1.39
Denmark,2007,3.7,1.85
Djibouti,2007,67.5,3.83
Dominican Republic,2007,29.1,2.69
Ecuador,2007,23.1,2.77
Egypt,2007,27.1,2.99
El Salvador,2007,19.2,2.35
Equatorial Guinea,2007,86.3,5.39
Eritrea,2007,43.7,5.27
Estonia,2007,4.8,1.6
Ethiopia,2007,61,5.35
Fiji,2007,20.3,2.77
Finland,2007,2.9,1.83
France,2007,3.6,1.96
French Polynesia,2007,NA,2.18
Gabon,2007,47.4,4.3
Gambia,2007,54.5,5.8
Georgia,2007,18.6,1.76
Germany,2007,3.7,1.36
Ghana,2007,54.4,4.26
Greece,2007,4.4,1.43
Greenland,2007,NA,2.3
Grenada,2007,12.1,2.3
Guatemala,2007,31.2,4.2
Guinea,2007,79,5.42
Guinea-Bissau,2007,83.3,5.32
Guyana,2007,33.9,2.75
Haiti,2007,62.7,3.58
Honduras,2007,23.2,3.34
"Hong Kong, China",2007,NA,1.02
Hungary,2007,6.5,1.32
Iceland,2007,2.2,2.11
India,2007,51.9,2.69
Indonesia,2007,30.9,2.49
Iran,2007,19.4,1.87
Iraq,2007,31.8,4.41
Ireland,2007,3.9,2
Israel,2007,4.1,2.91
Italy,2007,3.6,1.37
Jamaica,2007,16.5,2.41
Japan,2007,2.6,1.33
Jordan,2007,19.3,3.64
Kazakhstan,2007,24.8,2.46
Kenya,2007,49.5,4.82
Kiribati,2007,49.5,3.19
South Korea,2007,4.1,1.21
Kuwait,2007,9.8,2.67
Kyrgyz Republic,2007,31.7,2.73
Lao,2007,65.5,3.48
Latvia,2007,9.6,1.47
Lebanon,2007,10.4,1.62
Lesotho,2007,84.3,3.41
Liberia,2007,76.9,5.28
Libya,2007,17.3,2.69
Lithuania,2007,7.2,1.39
Luxembourg,2007,2.4,1.62
"Macao, China",2007,NA,0.91
"Macedonia, FYR",2007,11,1.49
Madagascar,2007,47.9,4.87
Malawi,2007,64.5,5.84
Malaysia,2007,6.9,2.09
Maldives,2007,15.3,2.41
Mali,2007,90.1,6.81
Malta,2007,5.9,1.38
Mauritania,2007,73.1,4.99
Mauritius,2007,14.1,1.63
Mexico,2007,15.8,2.38
"Micronesia, Fed. Sts.",2007,35.7,3.66
Moldova,2007,15.5,1.49
Mongolia,2007,30.6,2.32
Montenegro,2007,8.2,1.73
Morocco,2007,31.9,2.4
Mozambique,2007,81.5,5.59
Namibia,2007,42.7,3.44
Nepal,2007,42,3.05
Netherlands,2007,4.2,1.72
New Caledonia,2007,NA,2.23
New Zealand,2007,5.3,2.11
Nicaragua,2007,24.4,2.76
Niger,2007,75.2,7.59
Nigeria,2007,90.3,6.02
Norway,2007,3,1.9
Oman,2007,10.4,2.89
Pakistan,2007,77.4,3.65
Panama,2007,18.5,2.64
Papua New Guinea,2007,53.8,4.12
Paraguay,2007,22.4,3.12
Peru,2007,19,2.61
Philippines,2007,26.4,3.33
Poland,2007,6,1.31
Portugal,2007,3.3,1.37
Puerto Rico,2007,NA,1.71
Qatar,2007,8.4,2.3
Romania,2007,15.3,1.33
Russia,2007,12.4,1.41
Rwanda,2007,56.8,5.17
St. Lucia,2007,14.6,2.02
St. Vincent and the Grenadines,2007,19.2,2.13
Samoa,2007,16.2,4.45
Saudi Arabia,2007,16,3.05
Senegal,2007,51.9,5.14
Serbia,2007,7.1,1.42
Seychelles,2007,12.2,2.28
Sierra Leone,2007,120.5,5.23
Singapore,2007,2.3,1.29
Slovak Republic,2007,7.8,1.29
Slovenia,2007,3.2,1.4
Solomon Islands,2007,27.6,4.41
South Africa,2007,48.6,2.58
Spain,2007,4.4,1.4
Sri Lanka,2007,10.7,2.31
Sudan,2007,57.1,4.87
Suriname,2007,24.3,2.44
Swaziland,2007,74.7,3.76
Sweden,2007,2.7,1.89
Switzerland,2007,4.1,1.46
Syria,2007,14.8,3.24
Tajikistan,2007,49.2,3.67
Tanzania,2007,51.5,5.59
Thailand,2007,14,1.5
Timor-Leste,2007,60.7,6.59
Togo,2007,64.1,4.92
Tonga,2007,14.5,4.06
Trinidad and Tobago,2007,22.8,1.79
Tunisia,2007,17.5,2.04
Turkey,2007,20.2,2.17
Turkmenistan,2007,54.7,2.52
Uganda,2007,59.2,6.43
Ukraine,2007,11.6,1.35
United Arab Emirates,2007,8,2
United Kingdom,2007,4.9,1.84
United States,2007,6.6,2.12
Uruguay,2007,11.5,2.12
Uzbekistan,2007,43.3,2.47
Vanuatu,2007,23.6,3.68
Venezuela,2007,15,2.56
West Bank and Gaza,2007,21.3,4.48
Vietnam,2007,21.4,1.88
Yemen,2007,49.4,5.01
Zambia,2007,61.3,5.91
Zimbabwe,2007,59.9,3.9
